xyzid,SMILES,solvent,exp. abs. energy[eV],b3lyp cal. abs. energy[eV],b3lyp delta[eV],wb97 cal. abs. energy[eV],wb97 delta[eV],wb97x cal. abs. energy[eV],wb97x delta[eV],wpbeh cal. abs. energy[eV],wpbeh delta,pbe0 cal. abs. energy[eV],pbe0 delta[eV],camb3lyp cal. abs. energy[eV],camb3lyp delta[eV]
10, COc1ccc2c(c1O)C(=O)OC2,"n,n-dimethylformamide",2.719,5.949,3.23,5.658,2.939,6.14,3.421,6.316,3.597,6.106,3.387,6.371,3.652
11, COc1cccc(c1)C=NNC(=O)CSc1nnc(n1CC)c1ccco1,"n,n-dimethylformamide",2.254,4.713,2.459,4.81,2.556,5.05,2.796,5.17,2.916,4.858,2.604,5.17,2.916
12, CSc1ccc(cc1)C=Cc1ccc2c(c1)c1ccccc1n2CC,"n,n-dimethylformamide",3.679,3.456,-0.223,3.679,0,3.932,0.253,4,0.321,3.559,-0.12,3.974,0.295
13, CN1c2ccc(cc2Sc2c1cccc2)C=Cc1ccc(cc1)N(c1ccc(cc1)C=Cc1ccc2c(c1)Sc1c(N2C)cccc1)c1ccc(cc1)C=Cc1ccc(c2c1nsn2)C=Cc1ccc(cc1)N(c1ccc(cc1)C=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)C=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1,"n,n-dimethylformamide",2.883,2.681,-0.202,3.259,0.376,3.439,0.556,3.511,0.628,2.838,-0.045,3.451,0.568
14, C[n+]1ccc(cc1)C=Cc1ccc(cc1)C=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1.[I-],"n,n-dimethylformamide",1.623,2.942,1.319,2.9,1.277,3.116,1.493,3.215,1.592,3.116,1.493,3.073,1.45
15, C[n+]1ccc(cc1)C=Cc1ccc(cc1)C=Cc1nc2c(s1)cccc2.[I-],"n,n-dimethylformamide",2.271,2.691,0.42,3.138,0.867,3.339,1.068,3.429,1.158,2.862,0.591,3.359,1.088
16, Cc1ccn2c(c1)c(C(=O)c1ccccc1C(=O)O)c1c2C(=O)c2c(C1=O)cccc2,"n,n-dimethylformamide",2.46,4.028,1.568,3.896,1.436,4.208,1.748,4.329,1.869,4.184,1.724,4.317,1.857
17, Cc1cn2c3C(=O)c4ccccc4C(=O)c3c(c2cc1C)C(=O)c1ccccc1C(=O)O,"n,n-dimethylformamide",2.436,3.992,1.556,3.86,1.424,4.16,1.724,4.305,1.869,4.16,1.724,4.281,1.845
18, ClC=C(C=CC(C(C=C)(Cl)C)Cl)C=O,"n,n-dimethylformamide",1.669,5.134,3.465,4.369,2.7,6.234,4.565,6.426,4.757,4.361,2.692,4.78,3.111
19, Cn1c(=CN=Nc2ccc(cc2)C=C(C#N)C#N)sc2c1cccc2,"n,n-dimethylformamide",2.562,2.386,-0.176,2.507,-0.055,2.676,0.114,2.717,0.155,2.443,-0.119,2.689,0.127
20, Cn1c(=CN=Nc2ccc(cc2)C=C2SC(=S)N(C2=O)c2ccc(cc2)O)sc2c1cccc2,"n,n-dimethylformamide",2.179,2.223,0.044,2.478,0.299,2.656,0.477,2.705,0.526,2.3,0.121,2.668,0.489
21, Cn1c2ccc(cc2c2c1cccc2)c1cc(nc(c1)c1ccccc1)c1ccccc1,"n,n-dimethylformamide",2.475,4.605,2.13,4.521,2.046,4.81,2.335,4.954,2.479,4.762,2.287,4.93,2.455
22, Cn1c2ccc(cc2c2c1cccc2)c1cc(nc(c1)c1ccccn1)c1ccccn1,"n,n-dimethylformamide",4.012,4.461,0.449,4.521,0.509,4.798,0.786,4.93,0.918,4.617,0.605,4.906,0.894
23, Cn1ccc(=CN=Nc2ccc(cc2)C=C(C#N)C#N)c2c1cccc2,"n,n-dimethylformamide",2.254,2.273,0.019,2.235,-0.019,2.372,0.118,2.418,0.164,2.308,0.054,2.398,0.144
24, Fc1ccccc1,"n,n-dimethylformamide",3.563,7.633,4.07,7.272,3.709,7.615,4.052,7.785,4.222,7.737,4.174,7.799,4.236
25, N#CC(=C1C=C(C=Cc2cc(c3ccccc3)c(cc2c2ccccc2)C=Cc2ccc(cc2)N(C)C)CC(C1)(C)C)C#N,"n,n-dimethylformamide",2.695,1.879,-0.816,2.852,0.157,3.053,0.358,3.111,0.416,2.039,-0.656,2.953,0.258
26, N#CC(=C1C=C(C=Cc2cc(c3cccs3)c(cc2c2cccs2)C=Cc2ccc(cc2)N(c2ccccc2)c2ccccc2)CC(C1)(C)C)C#N,"n,n-dimethylformamide",2.672,2.85,0.178,2.942,0.27,3.123,0.451,3.175,0.503,3.018,0.346,3.063,0.391
27, C[n+]1ccc(cc1)C=Cc1ccc(cc1)C=Cc1ccc(cc1)n1c2ccccc2c2c1cccc2.[I-],"n,n-dimethylformamide",1.949,2.868,0.919,3.138,1.189,3.44,1.491,3.387,1.438,2.549,0.6,3.279,1.33
28, N#CC(=C1OC(C(=C1C#N)C=CC1=C(Br)C(=CC=C2N(C)c3c(C2(C)C)cccc3)CC(C1)(c1ccccc1)c1ccccc1)(C)C)C#N,"n,n-dimethylformamide",1.478,2.032,0.554,1.974,0.496,2.245,0.767,2.144,0.666,2.054,0.576,2.046,0.568
29, CCn1c2ccccc2c2c1nc1cc3c(=O)[nH][nH]c(=O)c3cc1n2,"n,n-dimethylformamide",3.039,4.208,1.169,4.401,1.362,4.749,1.71,4.894,1.855,4.401,1.362,4.87,1.831
30, CCn1c2ccc(cc2c2c1ccc(c2)N=Nc1nc2c(s1)cc(cc2)[N+](=O)[O-])N=Nc1nc2c(s1)cc(cc2)[N+](=O)[O-],"n,n-dimethylformamide",2.485,2.297,-0.188,2.783,0.298,3.02,0.535,3.057,0.572,2.453,-0.032,2.98,0.495
31, Brc1cc2c(=O)c(=O)c3c4c2c(c1)c(=O)c(=O)c4cc(c3)Br,"n,n-dimethylformamide",4.275,2.696,-1.579,3.111,-1.164,3.375,-0.9,3.466,-0.809,2.849,-1.426,3.453,-0.822
32, C(Cn1c2ccc(cc2c2c1ccc(c2)C=CC(=O)O)C=CC1=CC(=C(C#N)C#N)C=C(O1)C=Cc1ccc2c(c1)c1cc(C=CC(=O)O)ccc1n2CC(C)CC)CC,"n,n-dimethylformamide",2.713,2.381,-0.332,2.838,0.125,3.051,0.338,3.133,0.42,2.525,-0.188,3.063,0.35
33, C(Cn1c2ccc(cc2c2c1ccc(c2)C=CC(=O)O)C=CC1=CC(=C2C(=O)N(CC)C(=S)N(C2=O)CC)C=C(O1)C=Cc1ccc2c(c1)c1cc(C=CC(=O)O)ccc1n2CC(C)CC)CC,"n,n-dimethylformamide",2.431,2.297,-0.134,2.934,0.503,3.174,0.743,3.259,0.828,2.433,0.002,3.21,0.779
34, C(Cn1c2ccc(cc2c2c1ccc(c2)C=CC(=O)O)C=CC1=CC(=C2C(=O)c3c(C2=C(C#N)C#N)cccc3)C=C(O1)C=Cc1ccc2c(c1)c1cc(C=CC(=O)O)ccc1n2CC(C)CC)CC,"n,n-dimethylformamide",2.127,2.236,0.109,2.561,0.434,2.754,0.627,2.802,0.675,2.369,0.242,2.778,0.651
35, C(Cn1c2ccc(cc2c2c1ccc(c2)C=CC1=CC(=C2C(=C(C#N)C#N)c3c(S2(=O)=O)cccc3)C=C(O1)C=Cc1ccc2c(c1)c1cc(C=CC(=O)O)ccc1n2CC(C)CC)C=CC(=O)O)CC,"n,n-dimethylformamide",2.073,1.96,-0.113,2.477,0.404,2.681,0.608,2.741,0.668,2.104,0.031,2.669,0.596
36, C1CCc2c(C1)nc1c(c2)cc2c(n1)cccc2,"n,n-dimethylformamide",3.425,5.242,1.817,5.098,1.673,5.43,2.005,5.571,2.146,5.351,1.926,5.591,2.166
37, C1Cc2c(C1)nc1c(c2)cc2c(n1)cccc2,"n,n-dimethylformamide",3.444,5.242,1.798,5.11,1.666,5.459,2.015,5.591,2.147,5.351,1.907,5.615,2.171
38, C=Cc1ccc(cc1)c1nnc(s1)c1ccccc1,"n,n-dimethylformamide",3.163,3.54,0.377,3.841,0.678,4.073,0.91,4.143,0.98,3.667,0.504,4.11,0.947
39, CC(c1cc2ccc3c4c2c(c1)ccc4ccc3c1cc(c2c3c1ccc1c3c(cc2)c(cc1c1ccc2c3c1ccc1c3c(cc2)cc(c1)C(C)(C)C)c1ccc2c3c1ccc1c3c(cc2)cc(c1)C(C)(C)C)c1ccc2c3c1ccc1c3c(cc2)cc(c1)C(C)(C)C)(C)C,"n,n-dimethylformamide",3.123,2.826,-0.297,3.154,0.031,3.305,0.182,3.598,0.475,2.91,-0.213,3.557,0.434
40, CC(c1cc2ccc3c4c2c(c1)ccc4ccc3c1ccc2c3c1ccc1c3c(cc2)ccc1)(C)C,"n,n-dimethylformamide",3.542,3.812,0.27,3.523,-0.019,3.764,0.222,3.908,0.366,3.956,0.414,3.86,0.318
41, CC1CCCc2c1nc1nc3ccccc3cc1c2,"n,n-dimethylformamide",3.397,5.218,1.821,5.086,1.689,5.418,2.021,5.559,2.162,5.327,1.93,5.579,2.182
42, CCn1c2ccccc2c2c1nc1c(n2)ccc2c1c(=O)[nH][nH]c2=O,"n,n-dimethylformamide",3.092,4.473,1.381,4.629,1.537,4.99,1.898,5.134,2.042,4.689,1.597,5.098,2.006
43, CCCNc1ccc(cc1)C1=c2cc3OC(=O)C(=c3cc2OC1=O)c1ccccc1,"n,n-dimethylformamide",1.902,2.088,0.186,2.216,0.314,2.392,0.49,2.394,0.492,2.129,0.227,2.36,0.458
44, CCN(c1ccc(cc1)C=C(c1ccc(s1)c1nc2c([nH]1)cc(cc2)C(=O)O)C#N)CC,"n,n-dimethylformamide",2.695,3.92,1.225,3.992,1.297,4.208,1.513,4.305,1.61,3.877,1.182,4.341,1.646
45, CCN(c1ccc(cc1)C=C1SC(=S)N(C1=O)CC(=O)O)CC,"n,n-dimethylformamide",2.707,2.786,0.079,2.762,0.055,2.94,0.233,2.998,0.291,2.846,0.139,2.999,0.292
46, CCN(c1ccc(cc1)C=CC(=O)O)CC,"n,n-dimethylformamide",3.378,3.259,-0.119,3.186,-0.192,3.391,0.013,3.463,0.085,3.331,-0.047,3.475,0.097
47, CCN(c1ccc2c(c1)oc(=O)c1c2O[B-](F)(F)[N+](=N1)c1ccc(cc1)OC)CC,"n,n-dimethylformamide",2.271,2.58,0.309,2.762,0.491,2.955,0.684,3.035,0.764,2.685,0.414,3.003,0.732
48, CCN(c1ccc2c(c1)oc(=O)c1c2O[B-](F)(F)[N+](=N1)c1ccccc1)CC,"n,n-dimethylformamide",2.313,2.768,0.455,2.902,0.589,3.103,0.79,3.17,0.857,2.866,0.553,3.143,0.83
49, CCOC(=O)C(=C)COC(=O)c1ccc(cc1)C(=O)c1ccccc1,"n,n-dimethylformamide",4.862,4.822,-0.04,4.689,-0.173,5.014,0.152,5.146,0.284,4.593,-0.269,5.11,0.248
50, CCOC(=O)c1sc2c(c1N=Nc1ccc(cc1)N(C)C)c(cc(n2)c1ccco1)C(F)(F)F,"n,n-dimethylformamide",2.768,3.222,0.454,3.006,0.238,3.249,0.481,3.394,0.626,3.355,0.587,3.881,1.113
51, CCOc1ccc(cc1)N(c1ccc(cc1)OCC)c1ccc(cc1)C=Cc1ccnc(n1)n1ccnc1,"n,n-dimethylformamide",2.924,2.641,-0.283,3.1,0.176,3.372,0.448,3.45,0.526,2.734,-0.19,3.387,0.463
52, CCn1c(=Cc2cc[n+](c3c2cccc3)C)sc(=c2sc3c(n2C)cccc3)c1=O.[I-],"n,n-dimethylformamide",2.171,2.333,0.162,2.476,0.305,2.679,0.508,2.723,0.552,2.427,0.256,2.717,0.546
53, CCn1c(=Cc2sc3c([n+]2C)cccc3)sc(=c2sc3c(n2C)cccc3)c1=O.[I-],"n,n-dimethylformamide",2.45,2.669,0.219,2.726,0.276,2.913,0.463,2.962,0.512,2.752,0.302,2.972,0.522
54, CCN(c1ccc(cc1)C=C(c1ccc(s1)C=C1SC(=S)N(C1=O)CC(=O)O)C#N)CC,"n,n-dimethylformamide",2.335,2.814,0.479,3.489,1.154,3.764,1.429,2.932,0.597,2.106,-0.229,2.804,0.469
55, N#CC(=C1OC(C(=C1C#N)C=CC1=C(Cl)C(=CC=C2N(C)c3c(C2(C)C)cccc3)CC(C1)(c1ccccc1)c1ccccc1)(C)C)C#N,"n,n-dimethylformamide",1.478,2.041,0.563,1.854,0.376,2.083,0.605,2.141,0.663,2.059,0.581,2.069,0.591
56, C[C@H](CNc1ncnc2c1c(c1ccccc1)c([nH]2)c1ccccc1)O,"n,n-dimethylformamide",2.695,3.878,1.183,3.99,1.295,4.33,1.635,4.478,1.783,3.991,1.296,4.456,1.761
57, N#CC(=C1OC(C(=C1C#N)C=CC1=C(Oc2c(cc(cc2C(C)(C)C)C)C(C)(C)C)C(=CC=C2N(C)c3c(C2(C)C)cccc3)CC(C1)C(C)(C)C)(C)C)C#N,"n,n-dimethylformamide",1.384,2.076,0.692,1.941,0.557,2.062,0.678,2.113,0.729,2.108,0.724,2.124,0.74
58, Oc1ccccc1c1nc2c(o1)c(cc1c2cccc1)c1nc2c(s1)cccc2,"n,n-dimethylformamide",3.757,3.715,-0.042,3.884,0.127,4.148,0.391,4.266,0.509,3.86,0.103,4.24,0.483
59, [CH-]1C=CC=C1.CN([C-]1C=CC=C1c1cccc2c1cccc2)C.[Fe+2],"n,n-dimethylformamide",4.381,2.549,-1.832,2.068,-2.313,2.784,-1.597,3.055,-1.326,2.838,-1.543,2.766,-1.615
60, [O-]C(=O)C.[O-]C(=O)C.[O-]C(=O)C.[In+3],"n,n-dimethylformamide",1.759,4.162,2.403,4.413,2.654,4.713,2.954,5.471,3.712,6.207,4.448,4.954,3.195
61, [O-][Cl](=O)(=O)=O.[O-][Cl](=O)(=O)=O.Cn1c(=Cc2cc(C)[n+](c(c2)C)CCCCCCCCCCCC[n+]2c(C)cc(cc2C)C=c2sc3c(n2C)cccc3)sc2c1cccc2,"n,n-dimethylformamide",2.737,3.234,0.497,3.114,0.377,3.319,0.582,3.427,0.69,3.307,0.57,3.439,0.702
62, [O-][Cl](=O)(=O)=O.[O-][Cl](=O)(=O)=O.Cn1c(=Cc2cc(C)[n+](c(c2)C)CCCCCC[n+]2c(C)cc(cc2C)C=c2sc3c(n2C)cccc3)sc2c1cccc2,"n,n-dimethylformamide",2.731,3.246,0.515,3.174,0.443,3.355,0.624,3.439,0.708,3.319,0.588,3.439,0.708
63, [O-][Cl](=O)(=O)=O.[O-][Cl](=O)(=O)=O.Cn1c(=Cc2cc(C)[n+](c(c2)C)CCCCC[n+]2c(C)cc(cc2C)C=c2sc3c(n2C)cccc3)sc2c1cccc2,"n,n-dimethylformamide",2.749,3.198,0.449,3.114,0.365,3.307,0.558,3.379,0.63,3.271,0.522,3.379,0.63
64, [O-][Cl](=O)(=O)=O.[O-][Cl](=O)(=O)=O.Cn1c(=Cc2cc(C)[n+](c(c2)C)CCCNCCC[n+]2c(C)cc(cc2C)C=c2sc3c(n2C)cccc3)sc2c1cccc2,"n,n-dimethylformamide",2.725,3.234,0.509,3.222,0.497,3.427,0.702,3.427,0.702,3.319,0.594,3.463,0.738
65, [O-][Cl](=O)(=O)=O.[O-][Cl](=O)(=O)=O.Cn1c(=Cc2cc(C)[n+](c(c2)C)CCNCCNCC[n+]2c(C)cc(cc2C)C=c2sc3c(n2C)cccc3)sc2c1cccc2,"n,n-dimethylformamide",2.725,3.234,0.509,3.186,0.461,3.367,0.642,3.451,0.726,3.307,0.582,3.451,0.726
66, [O-][Cl](=O)(=O)=O.[O-][Cl](=O)(=O)=O.Cn1c(=Cc2cc(C)[n+](c(c2)C)CCOCC[n+]2c(C)cc(cc2C)C=c2sc3c(n2C)cccc3)sc2c1cccc2,"n,n-dimethylformamide",2.749,3.174,0.425,3.054,0.305,3.246,0.497,3.343,0.594,3.234,0.485,3.355,0.606
67, [O-][Cl](=O)(=O)=O.[O-][Cl](=O)(=O)=O.O=C(N1CCN(CC1)C(=O)CCCCC[n+]1c(C)cc(cc1C)C=c1sc2c(n1C)cccc2)CCCCC[n+]1c(C)cc(cc1C)C=c1sc2c(n1C)cccc2,"n,n-dimethylformamide",2.737,3.21,0.473,3.138,0.401,3.319,0.582,3.379,0.642,3.271,0.534,3.391,0.654
68, [O-][Cl](=O)(=O)=O.[O-][Cl](=O)(=O)=O.O=C(Nc1ccc(cc1)NC(=O)CCCCC[n+]1c(C)cc(cc1C)C=c1sc2c(n1C)cccc2)Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)Nc1ccc(cc1)NC(=O)CCCCC[n+]1c(C)cc(cc1C)C=c1sc2c(n1C)cccc2,"n,n-dimethylformamide",2.743,3.259,0.516,3.186,0.443,3.391,0.648,3.475,0.732,3.331,0.588,3.463,0.72
69, N#CC(=C1OC(C(=C1C#N)C=CC1=C(Cl)C(=CC=C2N(C)c3c(C2(C)C)cccc3)CC(C1)C(C)(C)C)(C)C)C#N,"n,n-dimethylformamide",1.471,2.046,0.575,1.842,0.371,1.956,0.485,2.179,0.708,2.055,0.584,2.114,0.643
70, c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)C=Cc1ccc(c2c1nsn2)C=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1,"n,n-dimethylformamide",3.171,2.922,-0.249,2.502,-0.669,2.717,-0.454,2.79,-0.381,2.004,-1.167,2.679,-0.492
71, c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)C=Cc1ccc(cc1)N(c1ccc(cc1)C=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)C=Cc1ccc(c2c1nsn2)C=Cc1ccc(cc1)N(c1ccc(cc1)C=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)C=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1,"n,n-dimethylformamide",2.917,2.645,-0.272,3.126,0.209,3.391,0.474,3.475,0.558,2.79,-0.127,3.415,0.498
72, c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)C=Cc1ccnc(n1)n1cncc1,"n,n-dimethylformamide",3.024,2.744,-0.28,3.15,0.126,3.421,0.397,3.514,0.49,2.864,-0.16,3.453,0.429
73, c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)c1cc(nc(c1)c1ccccn1)c1ccccn1,"n,n-dimethylformamide",4.29,4.124,-0.166,3.636,-0.654,3.96,-0.33,4.078,-0.212,4.22,-0.07,4.015,-0.275
74, c1ccc(cc1)N(c1ccccc1c1cc(c2cccs2)c(cc1c1cccs1)c1ccccc1N(c1ccccc1)c1ccccc1)c1ccccc1,"n,n-dimethylformamide",3.009,3.908,0.899,4.196,1.187,4.461,1.452,4.593,1.584,4.016,1.007,4.581,1.572
75, c1ccc(cc1)c1cccc(n1)c1nccc(c1)c1ccc(cc1)C=Cc1c2ccccc2cc2c1cccc2,"n,n-dimethylformamide",2.49,2.866,0.376,3.21,0.72,3.479,0.989,3.527,1.037,2.987,0.497,3.492,1.002
76, c1ccc(cc1)c1cccc(n1)c1nccc(c1)c1ccc(cc1)C=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1,"n,n-dimethylformamide",2.226,2.792,0.566,3.375,1.149,3.655,1.429,3.656,1.43,2.939,0.713,3.597,1.371
77, c1ccc(cc1)c1cccc(n1)c1nccc(c1)c1ccc(cc1)C=Cc1ccc(cc1)n1ccnc1,"n,n-dimethylformamide",2.91,3.38,0.47,3.728,0.818,3.954,1.044,4.028,1.118,3.505,0.595,3.977,1.067
78, c1ccc2c(c1)ocn2,"n,n-dimethylformamide",3.179,7.318,4.139,7.096,3.917,6.796,3.617,6.993,3.814,7.487,4.308,7.002,3.823
79, c1ccc2c(c1)scn2,"n,n-dimethylformamide",3.163,6.144,2.981,6.073,2.91,6.426,3.263,6.58,3.417,6.322,3.159,6.595,3.432
80, n1ccc(cc1)c1nc2c([nH]1)cccc2,"n,n-dimethylformamide",3.949,4.136,0.187,4.276,0.327,4.545,0.596,4.686,0.737,4.281,0.332,4.631,0.682
81, Oc1ccc(cc1N=Nc1nccs1)OCc1ccccc1,"n,n-dimethylformamide",1.997,3.637,1.64,3.769,1.772,4.088,2.091,4.199,2.202,3.783,1.786,4.19,2.193
82, [O-][N+](=O)c1ccc(cc1)c1cnc2c(c1)cc(c(c2)O)c1nc2c([nH]1)ccc(c2)[N+](=O)[O-],"n,n-dimethylformamide",3.746,3.98,0.234,3.98,0.234,4.244,0.498,4.341,0.595,4.196,0.45,4.22,0.474
83, Oc1c2cccc1Cc1cccc(c1O)Cc1c(c(Cc3c(c(C2)ccc3)O)ccc1)O,"n,n-dimethylformamide",2.525,4.846,2.321,5.543,3.018,5.916,3.391,6,3.475,5.074,2.549,6,3.475
84, Oc1ccc(c(c1)O)c1nc2c(o1)c(cc1c2cccc1)c1nc2c(s1)cccc2,"n,n-dimethylformamide",3.85,3.727,-0.123,3.884,0.034,4.16,0.31,4.293,0.443,3.872,0.022,4.259,0.409
85, N#CC(=C1OC(C(=C1C#N)C=CC=CC=C1N(C)c2c(C1(C)C)cccc2)(C)C)C#N,"n,n-dimethylformamide",1.776,2.381,0.605,2.208,0.432,2.342,0.566,2.387,0.611,2.419,0.643,2.415,0.639
86, N#CC(=C1OC(C(=C1C#N)C=CC=CC=CC=C1N(C)c2c(C1(C)C)cccc2)(C)C)C#N,"n,n-dimethylformamide",1.531,2.167,0.636,1.972,0.441,2.072,0.541,2.136,0.605,2.191,0.66,2.155,0.624
87, N#CC(=C1OC(C(=C1C#N)C=Cc1cc(c2ccccc2)c(cc1c1ccccc1)C=Cc1ccc(cc1)N(C)C)(C)C)C#N,"n,n-dimethylformamide",2.618,1.763,-0.855,2.578,-0.04,2.746,0.128,2.827,0.209,1.86,-0.758,2.67,0.052
88, N#CC(=Cc1ccc(cc1)N(CC)CC)c1ccc(s1)C=CC(=O)O,"n,n-dimethylformamide",2.638,2.553,-0.085,2.836,0.198,3.036,0.398,3.102,0.464,2.659,0.021,3.048,0.41
89, N#CCCN(c1ccc(cc1)N=Nc1scc(n1)c1ccc(cc1Cl)Cl)CCOC(=O)C,"n,n-dimethylformamide",2.296,2.889,0.593,3.006,0.71,3.242,0.946,3.285,0.989,2.975,0.679,3.264,0.968
90, N#Cc1c2cc([nH]n2c(=N)c2c1c1CCc3c(c1oc2=O)cccc3)c1ccc(cc1)OC,"n,n-dimethylformamide",2.897,3.667,0.77,3.553,0.656,3.821,0.924,4.349,1.452,3.812,0.915,3.928,1.031
91, N#Cc1c2cc([nH]n2c(=N)c2c1c1CSc3c(c1oc2=O)cccc3)c1cc(OC)c(c(c1)OC)OC,"n,n-dimethylformamide",2.792,3.703,0.911,3.896,1.104,4.244,1.452,4.341,1.549,3.872,1.08,4.341,1.549
92, N#Cc1c2cc([nH]n2c(=N)c2c1c1CSc3c(c1oc2=O)cccc3)c1ccc(cc1)F,"n,n-dimethylformamide",2.811,3.739,0.928,3.932,1.121,4.244,1.433,4.365,1.554,3.908,1.097,4.353,1.542
93, N#Cc1c2cc([nH]n2c(=N)c2c1c1CSc3c(c1oc2=O)cccc3)c1ccc(cc1)OC,"n,n-dimethylformamide",2.792,3.631,0.839,3.908,1.116,4.22,1.428,4.329,1.537,3.824,1.032,4.305,1.513
94, N#Cc1c2cc([nH]n2c(=N)c2c1c1CSc3c(c1oc2=O)cccc3)c1ccccc1,"n,n-dimethylformamide",2.805,3.739,0.934,3.908,1.103,4.232,1.427,4.365,1.56,3.92,1.115,4.353,1.548
95, N#Cc1cc2c(=O)c(=O)c3c4c2c(c1)c(=O)c(=O)c4cc(c3)C#N,"n,n-dimethylformamide",4.275,2.998,-1.277,3.285,-0.99,3.562,-0.713,3.672,-0.603,3.169,-1.106,3.654,-0.621
96, NCCNS(=O)(=O)c1cccc2c1cccc2N(C)C,"n,n-dimethylformamide",3.657,5.971,2.314,5.844,2.187,6.21,2.553,6.401,2.744,6.145,2.488,6.462,2.805
97, N#Cc1c2cc([nH]n2c(=N)c2c1c1CCc3c(c1oc2=O)cccc3)c1ccccc1,"n,n-dimethylformamide",2.897,3.679,0.782,3.555,0.658,4.834,1.937,5.002,2.105,3.824,0.927,3.928,1.031
98, O=C(c1ccccc1)c1ccc(cc1)OCC(=C)C(=O)O,"n,n-dimethylformamide",4.29,4.208,-0.082,4.393,0.103,4.78,0.49,4.898,0.608,4.385,0.095,4.881,0.591
99, ON=C1c2ccccc2c2c1cccc2,"n,n-dimethylformamide",3.899,5.086,1.187,5.181,1.282,5.522,1.623,5.668,1.769,5.242,1.343,5.663,1.764
100, O=C(C(=C)C)OCCOc1ccc(cc1)c1nnc(s1)c1ccccc1,"n,n-dimethylformamide",3.378,3.627,0.249,3.86,0.482,4.173,0.795,4.221,0.843,3.758,0.38,4.203,0.825
101, OC[C@@H](C(=O)OC)NC(=O)OC(C)(C)C,"n,n-dimethylformamide",3.542,7.545,4.003,7.027,3.485,7.9,4.358,8.083,4.541,7.791,4.249,8.133,4.591
